Fish_ID,Population,Treatment,DPI,Fibrosis_Score_Left,Fibrosis_Score_right,Sex,Lane
340,SAY,Worm Protein,42,0,0,F,L001
341,SAY,PBS,42,0,0,F,L001
342,SAY,PBS,42,0,0,M,L001
344,SAY,Worm Protein,42,0,0,M,L001
345,SAY,Alum,42,2+,1,M,L001
346,SAY,PBS,42,0,0,M,L001
347,RSL,PBS,42,0,0,F,L001
348,GOS,PBS,42,0,0,F,L001
350,GOS,Alum,42,2+,2+,M,L001
351,RSL,Worm Protein,42,0,0,M,L001
352,RSL,Alum,42,1,1,F,L001
353,GOS,Alum,42,2+,2+,F,L001
354,RSL,Worm Protein,42,0,0,M,L001
356,RSL,PBS,42,0,0,M,L001
358,GOS,Worm Protein,42,0,0,M,L001
359,RSL,PBS,42,0,0,F,L001
360,RSL,Alum,42,1,1,F,L001
362,RSL,PBS,42,0,0,M,L001
363,RSL,Worm Protein,42,0,0,F,L001
365,RSL,Worm Protein,42,0.5,0,F,L001
368,SAY,Worm Protein,42,0,0,M,L001
369,SAY,PBS,42,0,0,M,L001
370,SAY,Worm Protein,42,0,0,M,L001
371,SAY,Alum,42,2+,2+,M,L001
372,SAY,Alum,42,2,0.5,F,L001
373,SAY,Worm Protein,42,0,0,F,L002
374,SAY,Worm Protein,42,0,0,F,L002
375,SAY,Alum,42,2+,2,F,L002
377,SAY,Alum,42,2+,2+,F,L002
378,SAY,PBS,42,0,0,F,L002
379,SAY,PBS,42,0,0,M,L002
380,SAY,Alum,42,2+,2+,M,L002
381,SAY,PBS,42,0,0,F,L002
382,SAY,Worm Protein,42,0,0,F,L002
384,SAY,Worm Protein,42,0,0,F,L002
386,SAY,Alum,42,2+,1,F,L002
388,GOS,PBS,42,0,0,M,L001
389,GOS,Worm Protein,42,0,0,M,L001
390,GOS,Alum,42,2+,2+,F,L001
391,GOS,Alum,42,1,1,F,L001
392,RSL,PBS,42,0,0,F,L001
393,RSL,Alum,42,1,1,M,L001
394,GOS,PBS,42,0,0,F,L001
396,RSL,Worm Protein,42,0.5,0,F,L002
424,SAY,Worm Protein,42,0,0,F,L002
425,SAY,PBS,42,0,0,F,L002
426,SAY,Alum,42,2+,1,M,L002
427,SAY,Worm Protein,42,0,0,F,L002
428,GOS,Alum,42,2+,2,M,L001
429,GOS,PBS,42,0,0,M,L001
430,GOS,Worm Protein,42,0,0,F,L002
431,RSL,Alum,42,2,0.5,F,L002
433,RSL,Alum,42,1,1,M,L002
434,RSL,PBS,42,0,0,M,L002
436,SAY,Worm Protein,42,0,0,M,L002
439,RSL,Worm Protein,42,2,0,M,L002
440,GOS,Worm Protein,42,0,0,M,L002
441,GOS,Alum,42,0,0,M,L002
442,GOS,PBS,42,0.5,0.5,M,L002
444,GOS,Worm Protein,42,0,0,F,L002
445,GOS,Alum,42,2,2+,M,L002
446,GOS,PBS,42,0,0,M,L002
447,GOS,Worm Protein,42,0.5,0,F,L002
448,GOS,Alum,42,1,0,M,L002
451,RSL,Alum,42,2+,2,F,L002
452,RSL,PBS,42,0,0,F,L002
454,RSL,Alum,42,2,2+,F,L002
456,RSL,PBS,42,0,0,M,L002
457,GOS,PBS,42,0,0,F,L002
458,GOS,Alum,42,0,0,M,L002
462,SAY,Alum,42,2,1,F,L002
463,SAY,PBS,42,0,0,M,L002
464,SAY,PBS,42,0,0,F,L002
466,RSL,Alum,42,2,1,F,L002
467,RSL,Worm Protein,42,0,0,M,L002
468,RSL,Worm Protein,42,0.5,0,M,L002
469,RSL,Worm Protein,42,0.5,0,F,L002
470,RSL,PBS,42,0,0,F,L002
471,RSL,Worm Protein,42,0,0,M,L002
472,RSL,PBS,42,0.5,0,M,L002
474,SAY,Alum,42,2,2,M,L002
475,GOS,Alum,42,2,1,M,L002
476,GOS,Worm Protein,42,0,0,F,L002
479,GOS,PBS,42,0,0,M,L002
480,GOS,PBS,42,0,0,M,L002
481,GOS,Worm Protein,42,0,0,F,L002
482,GOS,Worm Protein,42,0,0,M,L002
483,GOS,PBS,42,0,0,M,L002
484,GOS,PBS,42,0,0,F,L002
485,GOS,Worm Protein,42,0.5,0.5,F,L002
486,RSL,Alum,42,2+,1,M,L002
487,RSL,Alum,42,1,0,F,L002
488,RSL,Worm Protein,42,0,0,M,L002
126,SAY,Worm Protein,10,0,0,M,L001
127,SAY,PBS,10,0,0,M,L001
128,SAY,PBS,10,0,0,M,L001
130,SAY,Worm Protein,10,0,0,F,L001
131,SAY,Alum,10,1,1,M,L001
132,SAY,PBS,10,0,0,F,L001
134,SAY,Worm Protein,10,0,0,M,L001
135,RSL,Alum,10,2,1,F,L001
136,RSL,PBS,10,0,0,M,L001
138,GOS,Alum,10,2,1,M,L001
139,GOS,PBS,10,0,0,F,L001
140,GOS,Worm Protein,10,0,0,F,L001
141,RSL,Worm Protein,10,1,0,F,L001
142,GOS,Alum,10,2,1,M,L001
143,GOS,PBS,10,0,0,M,L001
144,RSL,Worm Protein,10,1,0.5,M,L001
145,GOS,PBS,10,0,0,M,L001
146,GOS,PBS,10,0,0,M,L001
148,GOS,Worm Protein,10,0,0,F,L001
149,RSL,Alum,10,2,1,F,L001
150,RSL,Worm Protein,10,0,0,M,L001
152,RSL,PBS,10,0,0,F,L001
153,SAY,Worm Protein,10,0,0,F,L001
155,GOS,PBS,10,0,0,M,L001
156,SAY,Alum,10,2,1,M,L001
157,SAY,Worm Protein,10,0,0,M,L001
158,GOS,Worm Protein,10,0,0,F,L001
159,SAY,Worm Protein,10,0,0,F,L001
160,SAY,PBS,10,0,0,F,L001
161,SAY,Alum,10,2+,2+,F,L001
162,GOS,Worm Protein,10,0,0,M,L001
164,GOS,PBS,10,0,0,F,L001
165,GOS,Alum,10,1,1,F,L001
166,GOS,Worm Protein,10,0,0,M,L001
167,GOS,Alum,10,2,2,M,L001
168,GOS,PBS,10,0,0,M,L001
169,GOS,Alum,10,2,1,F,L001
170,GOS,PBS,10,0,0,M,L001
171,RSL,Alum,10,2,2,M,L001
172,RSL,PBS,10,0.5,0,M,L001
174,GOS,Alum,10,1,1,M,L001
175,GOS,Worm Protein,10,0,0,F,L001
177,RSL,Alum,10,2+,2+,M,L001
178,RSL,PBS,10,0,0,F,L001
180,SAY,PBS,10,0,0,M,L001
182,RSL,Worm Protein,10,1,1,F,L001
183,RSL,PBS,10,0,0,F,L001
184,RSL,Alum,10,2,2,M,L001
185,GOS,Alum,10,1,1,F,L001
188,RSL,Worm Protein,10,2,2,F,L001
190,RSL,PBS,10,0,0,M,L001
191,GOS,PBS,10,0,0,M,L001
192,GOS,Worm Protein,10,0,0,M,L001
193,GOS,Alum,10,2,1,M,L001
195,GOS,Alum,10,2,2,F,L001
197,GOS,Worm Protein,10,0,0,F,L001
201,SAY,PBS,10,0,0,M,L001
202,SAY,Alum,10,2,1,F,L001
203,SAY,PBS,10,0,0,F,L001
204,SAY,Worm Protein,10,0,0,M,L001
205,RSL,Worm Protein,10,1,1,M,L001
206,RSL,PBS,10,0.5,0,M,L001
207,RSL,Alum,10,2,2,F,L001
208,SAY,Worm Protein,10,0,0,F,L001
209,SAY,Alum,10,1,1,F,L001
210,SAY,Alum,10,2,1,M,L001
211,SAY,Worm Protein,10,0.5,0,F,L001
212,SAY,Alum,10,2,1,F,L001
213,RSL,PBS,10,0,0,M,L001
214,RSL,Worm Protein,10,0,0,M,L001
215,RSL,Alum,10,2+,1,F,L001
217,RSL,Worm Protein,10,2,1,F,L001
218,RSL,PBS,10,0,0,F,L001
221,SAY,Alum,10,1,1,F,L001
222,RSL,Worm Protein,10,0,0,M,L001
224,RSL,Alum,10,2,2,F,L001
225,RSL,Worm Protein,10,0,0,M,L001
226,RSL,PBS,10,0,0,F,L001
227,RSL,Alum,10,2,0.5,F,L001
230,RSL,Alum,10,2,1,M,L001
231,RSL,PBS,10,0,0,F,L001
233,GOS,Worm Protein,10,0,0,F,L001
234,SAY,PBS,10,0,0,M,L001
235,SAY,PBS,10,0,0,F,L001
237,SAY,Alum,10,1,1,F,L001
239,GOS,Alum,10,0,0,M,L001
240,GOS,PBS,10,0,0,M,L001
242,GOS,Worm Protein,10,0,0,F,L001
244,SAY,PBS,10,0,0,F,L001
245,SAY,Alum,10,1,2+,M,L001
246,SAY,Worm Protein,10,0,0,F,L001
247,SAY,Worm Protein,10,0,0.5,M,L001
318,RSL,Alum,10,2,1,F,L001
3,SAY,Worm Protein,1,0,0,M,L001
5,SAY,PBS,1,0,0,M,L001
6,SAY,Alum,1,0,0,F,L001
7,SAY,PBS,1,0,0,M,L001
8,SAY,Alum,1,0,0,F,L001
9,SAY,Worm Protein,1,0,0,F,L001
11,SAY,Worm Protein,1,0,0,M,L001
12,GOS,Worm Protein,1,0,0,M,L001
13,GOS,PBS,1,0,0,F,L001
14,GOS,Alum,1,0,0,F,L001
16,RSL,Worm Protein,1,0,0,F,L001
17,GOS,PBS,1,0,0,F,L001
18,RSL,PBS,1,0,0,M,L001
19,RSL,Alum,1,0,0,F,L001
20,GOS,PBS,1,0,0,M,L001
22,GOS,Worm Protein,1,0,0,F,L001
23,RSL,Alum,1,0,0,F,L001
26,GOS,Alum,1,0,0,F,L001
27,RSL,Alum,1,0,0,F,L001
28,SAY,Worm Protein,1,0,0,M,L001
29,SAY,PBS,1,0,0,M,L001
30,SAY,Alum,1,0,0,M,L001
32,SAY,PBS,1,0,0,F,L001
33,SAY,Alum,1,0,0,F,L001
34,SAY,Worm Protein,1,0,0,F,L001
35,SAY,PBS,1,0,0,F,L001
37,SAY,Worm Protein,1,0,0,F,L001
38,SAY,PBS,1,0,0,F,L001
39,SAY,Worm Protein,1,0,0,M,L001
41,SAY,Alum,1,0,0,F,L001
43,GOS,Worm Protein,1,0,0,F,L001
44,GOS,PBS,1,0,0,M,L001
45,GOS,Alum,1,0,0,F,L001
46,GOS,Worm Protein,1,0,0,F,L001
47,GOS,Alum,1,0,0,F,L001
48,GOS,Alum,1,0,0,F,L001
49,GOS,PBS,1,0,0,F,L001
50,RSL,Alum,1,1,0,F,L001
51,RSL,PBS,1,0,0,M,L001
52,RSL,PBS,1,0.5,0,F,L001
53,RSL,Worm Protein,1,0,0,F,L001
54,RSL,Alum,1,1,0,M,L001
56,SAY,Alum,1,0,0,F,L001
57,SAY,PBS,1,0,0,M,L001
58,SAY,Alum,1,0,0,M,L001
59,SAY,Worm Protein,1,0,0,F,L001
60,GOS,Alum,1,0,0,M,L001
61,GOS,Worm Protein,1,0,0,M,L001
62,GOS,PBS,1,0,0,M,L001
63,GOS,PBS,1,0,0,M,L001
64,RSL,Worm Protein,1,1,0,M,L001
65,RSL,Alum,1,1,0,F,L001
66,RSL,PBS,1,0,0,F,L001
70,RSL,PBS,1,0,0,F,L001
71,RSL,Alum,1,0.5,0,M,L001
73,RSL,Worm Protein,1,0,0,F,L001
75,RSL,Worm Protein,1,0,0,F,L001
76,GOS,Worm Protein,1,0,0,M,L001
77,GOS,Alum,1,0,0,F,L001
78,GOS,PBS,1,0,0,F,L001
79,SAY,Alum,1,0,0,M,L001
80,RSL,Worm Protein,1,1,0,M,L001
82,GOS,PBS,1,0,0,M,L001
83,GOS,Worm Protein,1,0,0,M,L001
84,GOS,Alum,1,0,0,M,L001
88,SAY,Alum,1,0,0,F,L001
89,SAY,PBS,1,0,0,M,L001
90,SAY,Worm Protein,1,0,0,F,L001
91,RSL,Alum,1,1,0,F,L001
92,RSL,PBS,1,0,0,M,L001
93,SAY,Worm Protein,1,0,0,F,L001
95,SAY,PBS,1,0,0,F,L001
96,RSL,Alum,1,0,0,F,L001
97,RSL,PBS,1,0,0,M,L001
98,GOS,Alum,1,0,0,F,L001
100,RSL,Worm Protein,1,1,0,F,L001
103,GOS,PBS,1,0,0,F,L001
104,GOS,Worm Protein,1,0,0,F,L001
107,RSL,Worm Protein,1,0,0,M,L001
108,RSL,PBS,1,0,0,M,L001
110,RSL,Alum,1,2,0,F,L001
111,RSL,Worm Protein,1,0,0,F,L001
112,RSL,PBS,1,0,0,M,L001
114,SAY,Alum,1,0,0,F,L001
116,GOS,PBS,1,0,0,F,L001
118,GOS,Alum,1,0,0,M,L001
119,GOS,Worm Protein,1,0,0,M,L001
121,GOS,Worm Protein,1,0,0,M,L001
122,SAY,PBS,1,0,0,F,L001
124,SAY,Alum,1,0,0,F,L001