"Fish_ID","Population","Treatment","DPI","Sex","Lane"
3,"SAY","Worm Protein","1","M","L001"
4,"SAY","Worm+Alum","1","M","L001"
5,"SAY","PBS","1","M","L001"
6,"SAY","Alum","1","F","L001"
7,"SAY","PBS","1","M","L001"
8,"SAY","Alum","1","F","L001"
9,"SAY","Worm Protein","1","F","L001"
10,"SAY","Worm+Alum","1","M","L001"
11,"SAY","Worm Protein","1","M","L001"
12,"GOS","Worm Protein","1","M","L001"
13,"GOS","PBS","1","F","L001"
14,"GOS","Alum","1","F","L001"
15,"GOS","Worm+Alum","1","F","L001"
16,"RSL","Worm Protein","1","F","L001"
17,"GOS","PBS","1","F","L001"
18,"RSL","PBS","1","M","L001"
19,"RSL","Alum","1","F","L001"
20,"GOS","PBS","1","M","L001"
21,"GOS","Worm+Alum","1","M","L001"
22,"GOS","Worm Protein","1","F","L001"
23,"RSL","Alum","1","F","L001"
25,"RSL","Worm+Alum","1","F","L001"
26,"GOS","Alum","1","F","L001"
27,"RSL","Alum","1","F","L001"
28,"SAY","Worm Protein","1","M","L001"
29,"SAY","PBS","1","M","L001"
30,"SAY","Alum","1","M","L001"
31,"SAY","Worm+Alum","1","F","L001"
32,"SAY","PBS","1","F","L001"
33,"SAY","Alum","1","F","L001"
34,"SAY","Worm Protein","1","F","L001"
35,"SAY","PBS","1","F","L001"
36,"SAY","Worm+Alum","1","M","L001"
37,"SAY","Worm Protein","1","F","L001"
38,"SAY","PBS","1","F","L001"
39,"SAY","Worm Protein","1","M","L001"
40,"SAY","Worm+Alum","1","F","L001"
41,"SAY","Alum","1","F","L001"
42,"GOS","Worm+Alum","1","M","L001"
43,"GOS","Worm Protein","1","F","L001"
44,"GOS","PBS","1","M","L001"
45,"GOS","Alum","1","F","L001"
46,"GOS","Worm Protein","1","F","L001"
47,"GOS","Alum","1","F","L001"
48,"GOS","Alum","1","F","L001"
49,"GOS","PBS","1","F","L001"
50,"RSL","Alum","1","F","L001"
51,"RSL","PBS","1","M","L001"
52,"RSL","PBS","1","F","L001"
53,"RSL","Worm Protein","1","F","L001"
54,"RSL","Alum","1","M","L001"
55,"SAY","Worm+Alum","1","M","L001"
56,"SAY","Alum","1","F","L001"
57,"SAY","PBS","1","M","L001"
58,"SAY","Alum","1","M","L001"
59,"SAY","Worm Protein","1","F","L001"
60,"GOS","Alum","1","M","L001"
61,"GOS","Worm Protein","1","M","L001"
62,"GOS","PBS","1","M","L001"
63,"GOS","PBS","1","M","L001"
64,"RSL","Worm Protein","1","M","L001"
65,"RSL","Alum","1","F","L001"
66,"RSL","PBS","1","F","L001"
67,"RSL","Worm+Alum","1","F","L001"
68,"GOS","Worm+Alum","1","M","L001"
69,"GOS","Worm+Alum","1","M","L001"
70,"RSL","PBS","1","F","L001"
71,"RSL","Alum","1","M","L001"
72,"RSL","Worm+Alum","1","F","L001"
73,"RSL","Worm Protein","1","F","L001"
74,"RSL","Worm+Alum","1","F","L001"
75,"RSL","Worm Protein","1","F","L001"
76,"GOS","Worm Protein","1","M","L001"
77,"GOS","Alum","1","F","L001"
78,"GOS","PBS","1","F","L001"
79,"SAY","Alum","1","M","L001"
80,"RSL","Worm Protein","1","M","L001"
81,"RSL","Worm+Alum","1","F","L001"
82,"GOS","PBS","1","M","L001"
83,"GOS","Worm Protein","1","M","L001"
84,"GOS","Alum","1","M","L001"
85,"GOS","Worm+Alum","1","F","L001"
86,"RSL","Worm+Alum","1","M","L001"
88,"SAY","Alum","1","F","L001"
89,"SAY","PBS","1","M","L001"
90,"SAY","Worm Protein","1","F","L001"
91,"RSL","Alum","1","F","L001"
92,"RSL","PBS","1","M","L001"
93,"SAY","Worm Protein","1","F","L001"
94,"SAY","Worm+Alum","1","F","L001"
95,"SAY","PBS","1","F","L001"
96,"RSL","Alum","1","F","L001"
97,"RSL","PBS","1","M","L001"
98,"GOS","Alum","1","F","L001"
99,"GOS","Worm+Alum","1","M","L001"
100,"RSL","Worm Protein","1","F","L001"
101,"RSL","Worm+Alum","1","F","L001"
102,"SAY","Worm+Alum","1","F","L001"
103,"GOS","PBS","1","F","L001"
104,"GOS","Worm Protein","1","F","L001"
105,"SAY","Worm+Alum","1","F","L001"
106,"RSL","Worm+Alum","1","M","L001"
107,"RSL","Worm Protein","1","M","L001"
108,"RSL","PBS","1","M","L001"
109,"RSL","Worm+Alum","1","F","L001"
110,"RSL","Alum","1","F","L001"
111,"RSL","Worm Protein","1","F","L001"
112,"RSL","PBS","1","M","L001"
113,"GOS","Worm+Alum","1","F","L001"
114,"SAY","Alum","1","F","L001"
115,"SAY","Worm+Alum","1","F","L001"
116,"GOS","PBS","1","F","L001"
117,"GOS","Worm+Alum","1","F","L001"
118,"GOS","Alum","1","M","L001"
119,"GOS","Worm Protein","1","M","L001"
120,"GOS","Worm+Alum","1","F","L001"
121,"GOS","Worm Protein","1","M","L001"
122,"SAY","PBS","1","F","L001"
123,"SAY","Worm+Alum","1","F","L001"
124,"SAY","Alum","1","F","L001"
125,"RSL","Worm+Alum","1","F","L001"
126,"SAY","Worm Protein","10","M","L001"
127,"SAY","PBS","10","M","L001"
128,"SAY","PBS","10","M","L001"
129,"SAY","Worm+Alum","10","M","L001"
130,"SAY","Worm Protein","10","F","L001"
131,"SAY","Alum","10","M","L001"
132,"SAY","PBS","10","F","L001"
133,"SAY","Worm+Alum","10","F","L001"
134,"SAY","Worm Protein","10","M","L001"
135,"RSL","Alum","10","F","L001"
136,"RSL","PBS","10","M","L001"
137,"GOS","Worm+Alum","10","M","L001"
138,"GOS","Alum","10","M","L001"
139,"GOS","PBS","10","F","L001"
140,"GOS","Worm Protein","10","F","L001"
141,"RSL","Worm Protein","10","F","L001"
142,"GOS","Alum","10","M","L001"
143,"GOS","PBS","10","M","L001"
144,"RSL","Worm Protein","10","M","L001"
145,"GOS","PBS","10","M","L001"
146,"GOS","PBS","10","M","L001"
147,"GOS","Worm+Alum","10","F","L001"
148,"GOS","Worm Protein","10","F","L001"
149,"RSL","Alum","10","F","L001"
150,"RSL","Worm Protein","10","M","L001"
151,"RSL","Worm+Alum","10","F","L001"
152,"RSL","PBS","10","F","L001"
153,"SAY","Worm Protein","10","F","L001"
154,"SAY","Worm+Alum","10","M","L001"
155,"GOS","PBS","10","M","L001"
156,"SAY","Alum","10","M","L001"
157,"SAY","Worm Protein","10","M","L001"
158,"GOS","Worm Protein","10","F","L001"
159,"SAY","Worm Protein","10","F","L001"
160,"SAY","PBS","10","F","L001"
161,"SAY","Alum","10","F","L001"
162,"GOS","Worm Protein","10","M","L001"
163,"GOS","Worm+Alum","10","M","L001"
164,"GOS","PBS","10","F","L001"
165,"GOS","Alum","10","F","L001"
166,"GOS","Worm Protein","10","M","L001"
167,"GOS","Alum","10","M","L001"
168,"GOS","PBS","10","M","L001"
169,"GOS","Alum","10","F","L001"
170,"GOS","PBS","10","M","L001"
171,"RSL","Alum","10","M","L001"
172,"RSL","PBS","10","M","L001"
173,"RSL","Worm+Alum","10","M","L001"
174,"GOS","Alum","10","M","L001"
175,"GOS","Worm Protein","10","F","L001"
176,"GOS","Worm+Alum","10","F","L001"
177,"RSL","Alum","10","M","L001"
178,"RSL","PBS","10","F","L001"
179,"GOS","Worm+Alum","10","F","L001"
180,"SAY","PBS","10","M","L001"
181,"RSL","Worm+Alum","10","F","L001"
182,"RSL","Worm Protein","10","F","L001"
183,"RSL","PBS","10","F","L001"
184,"RSL","Alum","10","M","L001"
185,"GOS","Alum","10","F","L001"
186,"SAY","Worm+Alum","10","M","L001"
187,"SAY","Worm+Alum","10","F","L001"
188,"RSL","Worm Protein","10","F","L001"
189,"RSL","Worm+Alum","10","F","L001"
190,"RSL","PBS","10","M","L001"
191,"GOS","PBS","10","M","L001"
192,"GOS","Worm Protein","10","M","L001"
193,"GOS","Alum","10","M","L001"
194,"GOS","Worm+Alum","10","M","L001"
195,"GOS","Alum","10","F","L001"
196,"GOS","Worm+Alum","10","F","L001"
197,"GOS","Worm Protein","10","F","L001"
198,"RSL","Worm+Alum","10","F","L001"
199,"RSL","Worm+Alum","10","M","L001"
200,"RSL","Worm+Alum","10","F","L001"
201,"SAY","PBS","10","M","L001"
202,"SAY","Alum","10","F","L001"
203,"SAY","PBS","10","F","L001"
204,"SAY","Worm Protein","10","M","L001"
205,"RSL","Worm Protein","10","M","L001"
206,"RSL","PBS","10","M","L001"
207,"RSL","Alum","10","F","L001"
208,"SAY","Worm Protein","10","F","L001"
209,"SAY","Alum","10","F","L001"
210,"SAY","Alum","10","M","L001"
211,"SAY","Worm Protein","10","F","L001"
212,"SAY","Alum","10","F","L001"
213,"RSL","PBS","10","M","L001"
214,"RSL","Worm Protein","10","M","L001"
215,"RSL","Alum","10","F","L001"
216,"GOS","Worm+Alum","10","M","L001"
217,"RSL","Worm Protein","10","F","L001"
218,"RSL","PBS","10","F","L001"
219,"SAY","Worm+Alum","10","F","L001"
220,"SAY","Worm+Alum","10","F","L001"
221,"SAY","Alum","10","F","L001"
222,"RSL","Worm Protein","10","M","L001"
223,"RSL","Worm+Alum","10","M","L001"
224,"RSL","Alum","10","F","L001"
225,"RSL","Worm Protein","10","M","L001"
226,"RSL","PBS","10","F","L001"
227,"RSL","Alum","10","F","L001"
228,"RSL","Worm+Alum","10","F","L001"
229,"RSL","Worm+Alum","10","F","L001"
230,"RSL","Alum","10","M","L001"
231,"RSL","PBS","10","F","L001"
232,"GOS","Worm+Alum","10","F","L001"
233,"GOS","Worm Protein","10","F","L001"
234,"SAY","PBS","10","M","L001"
235,"SAY","PBS","10","F","L001"
236,"SAY","Worm+Alum","10","M","L001"
237,"SAY","Alum","10","F","L001"
238,"SAY","Worm+Alum","10","F","L001"
239,"GOS","Alum","10","M","L001"
240,"GOS","PBS","10","M","L001"
241,"GOS","Worm+Alum","10","M","L001"
242,"GOS","Worm Protein","10","F","L001"
243,"SAY","Worm+Alum","10","M","L001"
244,"SAY","PBS","10","F","L001"
245,"SAY","Alum","10","M","L001"
246,"SAY","Worm Protein","10","F","L001"
247,"SAY","Worm Protein","10","M","L001"
318,"RSL","Alum","10","F","L001"
340,"SAY","Worm Protein","42","F","L001"
341,"SAY","PBS","42","F","L001"
342,"SAY","PBS","42","M","L001"
343,"SAY","Worm+Alum","42","F","L001"
344,"SAY","Worm Protein","42","M","L001"
345,"SAY","Alum","42","M","L001"
346,"SAY","PBS","42","M","L001"
347,"RSL","PBS","42","F","L001"
348,"GOS","PBS","42","F","L001"
349,"GOS","Worm+Alum","42","F","L001"
350,"GOS","Alum","42","M","L001"
351,"RSL","Worm Protein","42","M","L001"
352,"RSL","Alum","42","F","L001"
353,"GOS","Alum","42","F","L001"
354,"RSL","Worm Protein","42","M","L001"
355,"RSL","Worm+Alum","42","M","L001"
356,"RSL","PBS","42","M","L001"
357,"GOS","Worm+Alum","42","M","L001"
358,"GOS","Worm Protein","42","M","L001"
359,"RSL","PBS","42","F","L001"
360,"RSL","Alum","42","F","L001"
361,"RSL","Worm+Alum","42","M","L001"
362,"RSL","PBS","42","M","L001"
363,"RSL","Worm Protein","42","F","L001"
364,"RSL","Worm+Alum","42","M","L001"
365,"RSL","Worm Protein","42","F","L001"
366,"RSL","Worm+Alum","42","M","L001"
367,"SAY","Worm+Alum","42","F","L001"
368,"SAY","Worm Protein","42","M","L001"
369,"SAY","PBS","42","M","L001"
370,"SAY","Worm Protein","42","M","L001"
371,"SAY","Alum","42","M","L001"
372,"SAY","Alum","42","F","L001"
373,"SAY","Worm Protein","42","F","L002"
374,"SAY","Worm Protein","42","F","L002"
375,"SAY","Alum","42","F","L002"
376,"SAY","Worm+Alum","42","M","L002"
377,"SAY","Alum","42","F","L002"
378,"SAY","PBS","42","F","L002"
379,"SAY","PBS","42","M","L002"
380,"SAY","Alum","42","M","L002"
381,"SAY","PBS","42","F","L002"
382,"SAY","Worm Protein","42","F","L002"
383,"SAY","Worm+Alum","42","F","L002"
384,"SAY","Worm Protein","42","F","L002"
385,"GOS","Worm+Alum","42","M","L001"
386,"SAY","Alum","42","F","L002"
387,"GOS","Worm+Alum","42","F","L001"
388,"GOS","PBS","42","M","L001"
389,"GOS","Worm Protein","42","M","L001"
390,"GOS","Alum","42","F","L001"
391,"GOS","Alum","42","F","L001"
392,"RSL","PBS","42","F","L001"
393,"RSL","Alum","42","M","L001"
394,"GOS","PBS","42","F","L001"
395,"RSL","Worm+Alum","42","F","L002"
396,"RSL","Worm Protein","42","F","L002"
397,"RSL","Worm+Alum","42","M","L002"
424,"SAY","Worm Protein","42","F","L002"
425,"SAY","PBS","42","F","L002"
426,"SAY","Alum","42","M","L002"
427,"SAY","Worm Protein","42","F","L002"
428,"GOS","Alum","42","M","L001"
429,"GOS","PBS","42","M","L001"
430,"GOS","Worm Protein","42","F","L002"
431,"RSL","Alum","42","F","L002"
432,"GOS","Worm+Alum","42","M","L002"
433,"RSL","Alum","42","M","L002"
434,"RSL","PBS","42","M","L002"
435,"SAY","Worm+Alum","42","M","L002"
436,"SAY","Worm Protein","42","M","L002"
437,"SAY","Worm+Alum","42","M","L002"
438,"RSL","Worm+Alum","42","F","L002"
439,"RSL","Worm Protein","42","M","L002"
440,"GOS","Worm Protein","42","M","L002"
441,"GOS","Alum","42","M","L002"
442,"GOS","PBS","42","M","L002"
443,"GOS","Worm+Alum","42","M","L002"
444,"GOS","Worm Protein","42","F","L002"
445,"GOS","Alum","42","M","L002"
446,"GOS","PBS","42","M","L002"
447,"GOS","Worm Protein","42","F","L002"
448,"GOS","Alum","42","M","L002"
449,"GOS","Worm+Alum","42","F","L002"
451,"RSL","Alum","42","F","L002"
452,"RSL","PBS","42","F","L002"
453,"RSL","Worm+Alum","42","F","L002"
454,"RSL","Alum","42","F","L002"
455,"SAY","Worm+Alum","42","M","L002"
456,"RSL","PBS","42","M","L002"
457,"GOS","PBS","42","F","L002"
458,"GOS","Alum","42","M","L002"
459,"SAY","Worm+Alum","42","F","L002"
460,"RSL","Worm+Alum","42","F","L002"
461,"SAY","Worm+Alum","42","F","L002"
462,"SAY","Alum","42","F","L002"
463,"SAY","PBS","42","M","L002"
464,"SAY","PBS","42","F","L002"
465,"SAY","Worm+Alum","42","F","L002"
466,"RSL","Alum","42","F","L002"
467,"RSL","Worm Protein","42","M","L002"
468,"RSL","Worm Protein","42","M","L002"
469,"RSL","Worm Protein","42","F","L002"
470,"RSL","PBS","42","F","L002"
471,"RSL","Worm Protein","42","M","L002"
472,"RSL","PBS","42","M","L002"
473,"GOS","Worm+Alum","42","F","L002"
474,"SAY","Alum","42","M","L002"
475,"GOS","Alum","42","M","L002"
476,"GOS","Worm Protein","42","F","L002"
477,"GOS","Worm+Alum","42","F","L002"
478,"GOS","Worm+Alum","42","F","L002"
479,"GOS","PBS","42","M","L002"
480,"GOS","PBS","42","M","L002"
481,"GOS","Worm Protein","42","F","L002"
482,"GOS","Worm Protein","42","M","L002"
483,"GOS","PBS","42","M","L002"
484,"GOS","PBS","42","F","L002"
485,"GOS","Worm Protein","42","F","L002"
486,"RSL","Alum","42","M","L002"
487,"RSL","Alum","42","F","L002"
488,"RSL","Worm Protein","42","M","L002"
490,"RSL","Worm+Alum","42","F","L002"
612,"SAY","Worm Protein","90","F","L002"
613,"SAY","Worm Protein","90","F","L002"
614,"SAY","PBS","90","M","L002"
615,"SAY","Alum","90","F","L002"
616,"SAY","PBS","90","F","L002"
617,"SAY","Worm Protein","90","M","L002"
618,"SAY","Worm+Alum","90","M","L002"
619,"SAY","Worm+Alum","90","F","L002"
620,"GOS","Alum","90","F","L002"
621,"GOS","Alum","90","F","L002"
622,"GOS","Worm+Alum","90","M","L002"
623,"GOS","Worm+Alum","90","M","L002"
624,"GOS","Alum","90","F","L002"
625,"GOS","PBS","90","F","L002"
626,"GOS","Worm Protein","90","M","L002"
627,"GOS","Alum","90","M","L002"
628,"GOS","Worm Protein","90","F","L002"
629,"GOS","Alum","90","F","L002"
630,"GOS","Alum","90","F","L002"
631,"GOS","Alum","90","F","L002"
632,"GOS","Alum","90","F","L002"
633,"GOS","PBS","90","F","L002"
634,"GOS","PBS","90","M","L002"
635,"GOS","Worm+Alum","90","F","L002"
636,"GOS","Worm+Alum","90","F","L002"
637,"SAY","Alum","90","F","L002"
638,"SAY","Alum","90","M","L002"
639,"SAY","Worm+Alum","90","F","L002"
640,"SAY","Worm Protein","90","F","L002"
641,"RSL","Worm Protein","90","M","L002"
642,"RSL","Alum","90","F","L002"
643,"RSL","Alum","90","F","L002"
644,"RSL","Worm+Alum","90","F","L002"
645,"RSL","Worm Protein","90","M","L002"
646,"RSL","PBS","90","F","L002"
647,"RSL","Worm Protein","90","M","L002"
648,"RSL","Worm Protein","90","M","L002"
649,"RSL","Worm+Alum","90","F","L002"
650,"RSL","Worm+Alum","90","F","L002"
651,"RSL","Worm+Alum","90","F","L002"
652,"RSL","Worm Protein","90","F","L002"
653,"RSL","Worm+Alum","90","F","L002"
654,"RSL","Worm+Alum","90","F","L002"
655,"RSL","Worm Protein","90","M","L002"
656,"RSL","Worm Protein","90","F","L002"
657,"RSL","Alum","90","M","L002"
658,"RSL","Worm Protein","90","M","L002"
659,"RSL","PBS","90","F","L002"
660,"RSL","PBS","90","F","L002"
